navTimestamps,let,,1,517
CLUSTER_COLORS,const,,1,935
SYSTEM_KEYWORDS,const,,1,942
AFFINITY_STOPWORDS,const,,1,966
EDGE_LAYERS,const,,1,1165
pullLayerState,const,,1,1293
pullLayerPrevOpacity,const,,1,1294
proximityBoost,let,,1,1295
GraphPhysics,const,,1,2006
nodeDrag,const,,1,2530
clusterDragActive,let,,1,3244
focusedClusterId,let,,1,3245
clusterImportance,const,,1,3246
currentMetaLinks,let,,1,3697
xRelaxFactor,let,,1,4290
xT0Positions,let,,1,4291
xStartPositions,let,,1,4292
traceLastStepTime,let,,1,4628
spacePullIsGroupGather,let,,1,5254
currentFocus,let,,1,5741
_streamState,let,,1,5840
streamMode,let,,1,6257
'/target/src',string,,1,218
'',string,,1,219
3000,number,,1,220
40,number,,1,221
180,number,,1,222
120,number,,1,223
50,number,,1,224
7 * 24 * 3600 * 1000,expression,,1,225
null,null,,1,230
new Map(),new,,1,232
new Set(),new,,1,237
0.8,number,,1,240
0,number,,1,250
false,boolean,,1,255
0.75,number,,1,258
800,number,,1,279
1000,number,,1,280
'both',string,,1,286
-1,expression,,1,300
[],array,,1,440
'depgraph-spatial',string,,1,507
spatialMemory.spatialEdges,object,,1,511
"[ '#4a9eff', '#ff6b6b', '#51cf66', '#ffd43b', '#cc5de8', '#ff922b', '#22b8cf', '#ff6b9d', '#a9e34b', '#748ffc', '#f06595', '#20c997', '#fd7e14', '#845ef7', '#12b886', '#e64980', '#7950f2', '#15aabf', '#fab005', '#82c91e', ]",array,,1,935
"new Map([ ['terrain', 'Math / Noise / Terrain'], ['height', 'Math / Noise / Terrain'], ['noise', 'Math / Noise / Terrain'], ['fbm', 'Math / Noise / Terrain'], ['simplex', 'Math / Noise / Terrain'], ['ridged', 'Math / Noise / Terrain'], ['tree', 'World Generation'], ['rock', 'World Generation'], ['building', 'World Generation'], ['settlement', 'World Generation'], ['wall', 'World Generation'], ['kingdom', 'World Generation'], ['deferred', 'Rendering / Lighting'], ['light', 'Rendering / Lighting'], ['moon', 'Rendering / Lighting'], ['shadow', 'Rendering / Lighting'], ['lighting', 'Rendering / Lighting'], ['sun', 'Rendering / Lighting'], ['camera', 'Camera & HUD'], ['hud', 'Camera & HUD'], ['project', 'Camera & HUD'], ['trample', 'Path / Trampling'], ['path', 'Path / Trampling'], ['trail', 'Path / Trampling'], ['wind', 'Wind & Smoke'], ['smoke', 'Wind & Smoke'], ['chimney', 'Wind & Smoke'], ['player', 'Player'], ['npc', 'NPCs'], ['villager', 'NPCs'], ['corn', 'NPCs'], ['farm', 'NPCs'], ['sq', 'Squirrels'], ['squirrel', 'Squirrels'], ['acorn', 'Squirrels'], ['canopy', 'Squirrels'], ['ghost', 'Night / Combat'], ['wraith', 'Night / Combat'], ['night', 'Night / Combat'], ['ashen', 'Night / Combat'], ['combat', 'Night / Combat'], ['nm', 'Night / Combat'], ['contam', 'Contamination'], ['vine', 'Contamination'], ['cleanse', 'Contamination'], ['turret', 'Turrets'], ['zap', 'Turrets'], ['touch', 'Controls / Touch'], ['joystick', 'Controls / Touch'], ['animate', 'Main Loop'], ['clock', 'Main Loop'], ['dt', 'Main Loop'], ])",new,,1,942
"new Set([ 'get', 'set', 'update', 'draw', 'create', 'is', 'has', 'find', 'init', 'spawn', 'apply', 'handle', 'resolve', 'remove', 'rebuild', 'pick', 'move', 'check', 'clear', 'start', 'stop', 'push', 'pop', 'nearest', 'current', 'effective', 'smooth', 'exact', 'idx', 'key', ])",new,,1,966
"[ { id: 'calls', label: 'Calls', desc: 'A --> B: function A calls function B', directed: true, color: '#af6', dash: null, defaultOn: true, defaultThreshold: 1, maxThreshold: 10, compute(a, b, nameA, nameB) { const edges = []; if (a.calls.has(nameB)) edges.push({ source: nameA, target: nameB, weight: 3 }); if (b.calls.has(nameA)) edges.push({ source: nameB, target: nameA, weight: 3 }); return edges; }, }, { id: 'calledBy', label: 'Called by', desc: 'A <-- B: function A is called by function B', directed: true, color: '#f6a', dash: '4,2', defaultOn: true, defaultThreshold: 1, maxThreshold: 10, compute(a, b, nameA, nameB) { // Reverse of calls: if A calls B, emit edge from B←A (B is called by A) const edges = []; if (a.calls.has(nameB)) edges.push({ source: nameB, target: nameA, weight: 3 }); if (b.calls.has(nameA)) edges.push({ source: nameA, target: nameB, weight: 3 }); return edges; }, }, { id: 'shared', label: 'Shared state', desc: 'A <-> B: both functions read or write the same globals', directed: false, color: '#4a9eff', dash: null, defaultOn: true, defaultThreshold: 3, maxThreshold: 15, compute(a, b, nameA, nameB) { const aState = new Set([...a.reads, ...a.writes, ...a.rw]); const bState = new Set([...b.reads, ...b.writes, ...b.rw]); let w = 0; for (const v of aState) { if (bState.has(v)) w++; } return w > 0 ? [{ source: nameA, target: nameB, weight: w }] : []; }, }, { id: 'sharedWrites', label: 'Shared writes', desc: 'A <-> B: both functions write to the same globals (mutation contention)', directed: false, color: '#cc5de8', dash: '6,3', defaultOn: true, defaultThreshold: 1, maxThreshold: 10, compute(a, b, nameA, nameB) { const aWrites = new Set([...a.writes, ...a.rw]); const bWrites = new Set([...b.writes, ...b.rw]); let w = 0; for (const v of aWrites) { if (bWrites.has(v)) w++; } return w > 0 ? [{ source: nameA, target: nameB, weight: w }] : []; }, }, { id: 'importance', label: 'Importance', desc: 'Both functions are high-importance (>=7) and share a structural link', directed: false, color: '#ffd43b', dash: '2,4', defaultOn: true, defaultThreshold: 4, maxThreshold: 10, compute(a, b, nameA, nameB) { const impA = codemapImportance.get(nameA) || 0; const impB = codemapImportance.get(nameB) || 0; // Both must be high-importance (>=7) and share some structural link if (impA < 7 || impB < 7) return []; const hasCall = a.calls.has(nameB) || b.calls.has(nameA); const aState = new Set([...a.reads, ...a.writes, ...a.rw]); const bState = new Set([...b.reads, ...b.writes, ...b.rw]); let shared = 0; for (const v of aState) { if (bState.has(v)) shared++; } if (!hasCall && shared === 0) return []; const w = Math.round(Math.sqrt(impA * impB)); return [{ source: nameA, target: nameB, weight: w }]; }, }, { id: 'uses', label: 'Reads global', desc: 'fn --> var: function reads this global variable (hypergraph only)', directed: true, color: '#888', dash: '3,3', defaultOn: true, defaultThreshold: 1, maxThreshold: 1, compute() { return []; }, // edges created directly in buildGraph for hypergraph mode }, { id: 'writesTo', label: 'Writes to global', desc: 'fn --> var: function writes to this global variable (hypergraph only)', directed: true, color: '#cc5de8', dash: null, defaultOn: true, defaultThreshold: 1, maxThreshold: 1, compute() { return []; }, // edges created directly in buildGraph for hypergraph mode }, ]",array,,1,1165
0.5,number,,1,1295
