t,type,op,id,kind,source,target,layer,weight,label
2599,EDGE,add,"ny:0,0:21,26",,"px:0,0:21,26","px:0,0:21,27",next-y,1,
2600,NODE,add,"px:0,0:22,27",pixel,,,,0.05359477124183006,"12,12,17"
2601,EDGE,add,"nx:0,0:21,27",,"px:0,0:21,27","px:0,0:22,27",next-x,1,
2602,EDGE,add,"ny:0,0:22,26",,"px:0,0:22,26","px:0,0:22,27",next-y,1,
2603,NODE,add,"px:0,0:23,27",pixel,,,,0.05359477124183006,"12,12,17"
2604,EDGE,add,"nx:0,0:22,27",,"px:0,0:22,27","px:0,0:23,27",next-x,1,
2605,EDGE,add,"ny:0,0:23,26",,"px:0,0:23,26","px:0,0:23,27",next-y,1,
2606,NODE,add,"px:0,0:24,27",pixel,,,,0.05359477124183006,"12,12,17"
2607,EDGE,add,"nx:0,0:23,27",,"px:0,0:23,27","px:0,0:24,27",next-x,1,
2608,EDGE,add,"ny:0,0:24,26",,"px:0,0:24,26","px:0,0:24,27",next-y,1,
2609,NODE,add,"px:0,0:25,27",pixel,,,,0.05359477124183006,"12,12,17"
2610,EDGE,add,"nx:0,0:24,27",,"px:0,0:24,27","px:0,0:25,27",next-x,1,
2611,EDGE,add,"ny:0,0:25,26",,"px:0,0:25,26","px:0,0:25,27",next-y,1,
2612,NODE,add,"px:0,0:26,27",pixel,,,,0.05359477124183006,"12,12,17"
2613,EDGE,add,"nx:0,0:25,27",,"px:0,0:25,27","px:0,0:26,27",next-x,1,
2614,EDGE,add,"ny:0,0:26,26",,"px:0,0:26,26","px:0,0:26,27",next-y,1,
2615,NODE,add,"px:0,0:27,27",pixel,,,,0.08104575163398693,"19,19,24"
2616,EDGE,add,"nx:0,0:26,27",,"px:0,0:26,27","px:0,0:27,27",next-x,1,
2617,EDGE,add,"ny:0,0:27,26",,"px:0,0:27,26","px:0,0:27,27",next-y,1,
2618,NODE,add,"px:0,0:28,27",pixel,,,,0.05359477124183006,"12,12,17"
2619,EDGE,add,"nx:0,0:27,27",,"px:0,0:27,27","px:0,0:28,27",next-x,1,
2620,EDGE,add,"ny:0,0:28,26",,"px:0,0:28,26","px:0,0:28,27",next-y,1,
2621,NODE,add,"px:0,0:29,27",pixel,,,,0.05359477124183006,"12,12,17"
2622,EDGE,add,"nx:0,0:28,27",,"px:0,0:28,27","px:0,0:29,27",next-x,1,
2623,EDGE,add,"ny:0,0:29,26",,"px:0,0:29,26","px:0,0:29,27",next-y,1,
2624,NODE,add,"px:0,0:30,27",pixel,,,,0.05359477124183006,"12,12,17"
2625,EDGE,add,"nx:0,0:29,27",,"px:0,0:29,27","px:0,0:30,27",next-x,1,
2626,EDGE,add,"ny:0,0:30,26",,"px:0,0:30,26","px:0,0:30,27",next-y,1,
2627,NODE,add,"px:0,0:31,27",pixel,,,,0.05359477124183006,"12,12,17"
2628,EDGE,add,"nx:0,0:30,27",,"px:0,0:30,27","px:0,0:31,27",next-x,1,
2629,EDGE,add,"ny:0,0:31,26",,"px:0,0:31,26","px:0,0:31,27",next-y,1,
2630,NODE,add,"px:0,0:0,28",pixel,,,,0.05359477124183006,"12,12,17"
2631,EDGE,add,"ny:0,0:0,27",,"px:0,0:0,27","px:0,0:0,28",next-y,1,
2632,NODE,add,"px:0,0:1,28",pixel,,,,0.05359477124183006,"12,12,17"
2633,EDGE,add,"nx:0,0:0,28",,"px:0,0:0,28","px:0,0:1,28",next-x,1,
2634,EDGE,add,"ny:0,0:1,27",,"px:0,0:1,27","px:0,0:1,28",next-y,1,
2635,NODE,add,"px:0,0:2,28",pixel,,,,0.05359477124183006,"12,12,17"
2636,EDGE,add,"nx:0,0:1,28",,"px:0,0:1,28","px:0,0:2,28",next-x,1,
2637,EDGE,add,"ny:0,0:2,27",,"px:0,0:2,27","px:0,0:2,28",next-y,1,
2638,NODE,add,"px:0,0:3,28",pixel,,,,0.05359477124183006,"12,12,17"
2639,EDGE,add,"nx:0,0:2,28",,"px:0,0:2,28","px:0,0:3,28",next-x,1,
2640,EDGE,add,"ny:0,0:3,27",,"px:0,0:3,27","px:0,0:3,28",next-y,1,
2641,NODE,add,"px:0,0:4,28",pixel,,,,0.05359477124183006,"12,12,17"
2642,EDGE,add,"nx:0,0:3,28",,"px:0,0:3,28","px:0,0:4,28",next-x,1,
2643,EDGE,add,"ny:0,0:4,27",,"px:0,0:4,27","px:0,0:4,28",next-y,1,
2644,NODE,add,"px:0,0:5,28",pixel,,,,0.05359477124183006,"12,12,17"
2645,EDGE,add,"nx:0,0:4,28",,"px:0,0:4,28","px:0,0:5,28",next-x,1,
2646,EDGE,add,"ny:0,0:5,27",,"px:0,0:5,27","px:0,0:5,28",next-y,1,
2647,NODE,add,"px:0,0:6,28",pixel,,,,0.05359477124183006,"12,12,17"
2648,EDGE,add,"nx:0,0:5,28",,"px:0,0:5,28","px:0,0:6,28",next-x,1,
2649,EDGE,add,"ny:0,0:6,27",,"px:0,0:6,27","px:0,0:6,28",next-y,1,
2650,NODE,add,"px:0,0:7,28",pixel,,,,0.05359477124183006,"12,12,17"
2651,EDGE,add,"nx:0,0:6,28",,"px:0,0:6,28","px:0,0:7,28",next-x,1,
2652,EDGE,add,"ny:0,0:7,27",,"px:0,0:7,27","px:0,0:7,28",next-y,1,
2653,NODE,add,"px:0,0:8,28",pixel,,,,0.05359477124183006,"12,12,17"
2654,EDGE,add,"nx:0,0:7,28",,"px:0,0:7,28","px:0,0:8,28",next-x,1,
2655,EDGE,add,"ny:0,0:8,27",,"px:0,0:8,27","px:0,0:8,28",next-y,1,
2656,NODE,add,"px:0,0:9,28",pixel,,,,0.06928104575163399,"13,19,21"
2657,EDGE,add,"nx:0,0:8,28",,"px:0,0:8,28","px:0,0:9,28",next-x,1,
2658,EDGE,add,"ny:0,0:9,27",,"px:0,0:9,27","px:0,0:9,28",next-y,1,
2659,NODE,add,"px:0,0:10,28",pixel,,,,0.06928104575163399,"13,19,21"
2660,EDGE,add,"nx:0,0:9,28",,"px:0,0:9,28","px:0,0:10,28",next-x,1,
2661,EDGE,add,"ny:0,0:10,27",,"px:0,0:10,27","px:0,0:10,28",next-y,1,
2662,NODE,add,"px:0,0:11,28",pixel,,,,0.10588235294117647,"13,36,32"
2663,EDGE,add,"nx:0,0:10,28",,"px:0,0:10,28","px:0,0:11,28",next-x,1,
2664,EDGE,add,"ny:0,0:11,27",,"px:0,0:11,27","px:0,0:11,28",next-y,1,
2665,NODE,add,"px:0,0:12,28",pixel,,,,0.05359477124183006,"12,12,17"
2666,EDGE,add,"nx:0,0:11,28",,"px:0,0:11,28","px:0,0:12,28",next-x,1,
2667,EDGE,add,"ny:0,0:12,27",,"px:0,0:12,27","px:0,0:12,28",next-y,1,
2668,NODE,add,"px:0,0:13,28",pixel,,,,0.05359477124183006,"12,12,17"
2669,EDGE,add,"nx:0,0:12,28",,"px:0,0:12,28","px:0,0:13,28",next-x,1,
2670,EDGE,add,"ny:0,0:13,27",,"px:0,0:13,27","px:0,0:13,28",next-y,1,
2671,NODE,add,"px:0,0:14,28",pixel,,,,0.05359477124183006,"12,12,17"
2672,EDGE,add,"nx:0,0:13,28",,"px:0,0:13,28","px:0,0:14,28",next-x,1,
2673,EDGE,add,"ny:0,0:14,27",,"px:0,0:14,27","px:0,0:14,28",next-y,1,
2674,NODE,add,"px:0,0:15,28",pixel,,,,0.05359477124183006,"12,12,17"
2675,EDGE,add,"nx:0,0:14,28",,"px:0,0:14,28","px:0,0:15,28",next-x,1,
2676,EDGE,add,"ny:0,0:15,27",,"px:0,0:15,27","px:0,0:15,28",next-y,1,
2677,NODE,add,"px:0,0:16,28",pixel,,,,0.05359477124183006,"12,12,17"
2678,EDGE,add,"nx:0,0:15,28",,"px:0,0:15,28","px:0,0:16,28",next-x,1,
