t,type,op,id,kind,source,target,layer,weight,label
3681,EDGE,add,"ny:900,3220:11,12",,"px:900,3220:11,12","px:900,3220:11,13",next-y,1,
3682,NODE,add,"px:900,3220:12,13",pixel,,,,0.5594771241830065,"204,221,3"
3683,EDGE,add,"nx:900,3220:11,13",,"px:900,3220:11,13","px:900,3220:12,13",next-x,1,
3684,EDGE,add,"ny:900,3220:12,12",,"px:900,3220:12,12","px:900,3220:12,13",next-y,1,
3685,NODE,add,"px:900,3220:13,13",pixel,,,,0.592156862745098,"221,221,11"
3686,EDGE,add,"nx:900,3220:12,13",,"px:900,3220:12,13","px:900,3220:13,13",next-x,1,
3687,EDGE,add,"ny:900,3220:13,12",,"px:900,3220:13,12","px:900,3220:13,13",next-y,1,
3688,NODE,add,"px:900,3220:14,13",pixel,,,,0.6287581699346405,"238,221,22"
3689,EDGE,add,"nx:900,3220:13,13",,"px:900,3220:13,13","px:900,3220:14,13",next-x,1,
3690,EDGE,add,"ny:900,3220:14,12",,"px:900,3220:14,12","px:900,3220:14,13",next-y,1,
3691,NODE,add,"px:900,3220:15,13",pixel,,,,0.6718954248366014,"255,221,38"
3692,EDGE,add,"nx:900,3220:14,13",,"px:900,3220:14,13","px:900,3220:15,13",next-x,1,
3693,EDGE,add,"ny:900,3220:15,12",,"px:900,3220:15,12","px:900,3220:15,13",next-y,1,
3694,NODE,add,"px:900,3220:0,14",pixel,,,,0.542483660130719,"0,238,177"
3695,EDGE,add,"ny:900,3220:0,13",,"px:900,3220:0,13","px:900,3220:0,14",next-y,1,
3696,NODE,add,"px:900,3220:1,14",pixel,,,,0.5333333333333333,"17,238,153"
3697,EDGE,add,"nx:900,3220:0,14",,"px:900,3220:0,14","px:900,3220:1,14",next-x,1,
3698,EDGE,add,"ny:900,3220:1,13",,"px:900,3220:1,13","px:900,3220:1,14",next-y,1,
3699,NODE,add,"px:900,3220:2,14",pixel,,,,0.5228758169934641,"34,238,128"
3700,EDGE,add,"nx:900,3220:1,14",,"px:900,3220:1,14","px:900,3220:2,14",next-x,1,
3701,EDGE,add,"ny:900,3220:2,13",,"px:900,3220:2,13","px:900,3220:2,14",next-y,1,
3702,NODE,add,"px:900,3220:3,14",pixel,,,,0.5124183006535947,"51,238,103"
3703,EDGE,add,"nx:900,3220:2,14",,"px:900,3220:2,14","px:900,3220:3,14",next-x,1,
3704,EDGE,add,"ny:900,3220:3,13",,"px:900,3220:3,13","px:900,3220:3,14",next-y,1,
3705,NODE,add,"px:900,3220:4,14",pixel,,,,0.5032679738562091,"68,238,79"
3706,EDGE,add,"nx:900,3220:3,14",,"px:900,3220:3,14","px:900,3220:4,14",next-x,1,
3707,EDGE,add,"ny:900,3220:4,13",,"px:900,3220:4,13","px:900,3220:4,14",next-y,1,
3708,NODE,add,"px:900,3220:5,14",pixel,,,,0.49673202614379086,"85,238,57"
3709,EDGE,add,"nx:900,3220:4,14",,"px:900,3220:4,14","px:900,3220:5,14",next-x,1,
3710,EDGE,add,"ny:900,3220:5,13",,"px:900,3220:5,13","px:900,3220:5,14",next-y,1,
3711,NODE,add,"px:900,3220:6,14",pixel,,,,0.49411764705882355,"102,238,38"
3712,EDGE,add,"nx:900,3220:5,14",,"px:900,3220:5,14","px:900,3220:6,14",next-x,1,
3713,EDGE,add,"ny:900,3220:6,13",,"px:900,3220:6,13","px:900,3220:6,14",next-y,1,
3714,NODE,add,"px:900,3220:7,14",pixel,,,,0.49542483660130715,"119,238,22"
3715,EDGE,add,"nx:900,3220:6,14",,"px:900,3220:6,14","px:900,3220:7,14",next-x,1,
3716,EDGE,add,"ny:900,3220:7,13",,"px:900,3220:7,13","px:900,3220:7,14",next-y,1,
3717,NODE,add,"px:900,3220:8,14",pixel,,,,0.5032679738562091,"136,238,11"
3718,EDGE,add,"nx:900,3220:7,14",,"px:900,3220:7,14","px:900,3220:8,14",next-x,1,
3719,EDGE,add,"ny:900,3220:8,13",,"px:900,3220:8,13","px:900,3220:8,14",next-y,1,
3720,NODE,add,"px:900,3220:9,14",pixel,,,,0.5150326797385621,"153,238,3"
3721,EDGE,add,"nx:900,3220:8,14",,"px:900,3220:8,14","px:900,3220:9,14",next-x,1,
3722,EDGE,add,"ny:900,3220:9,13",,"px:900,3220:9,13","px:900,3220:9,14",next-y,1,
3723,NODE,add,"px:900,3220:10,14",pixel,,,,0.534640522875817,"170,238,1"
3724,EDGE,add,"nx:900,3220:9,14",,"px:900,3220:9,14","px:900,3220:10,14",next-x,1,
3725,EDGE,add,"ny:900,3220:10,13",,"px:900,3220:10,13","px:900,3220:10,14",next-y,1,
3726,NODE,add,"px:900,3220:11,14",pixel,,,,0.5594771241830065,"187,238,3"
3727,EDGE,add,"nx:900,3220:10,14",,"px:900,3220:10,14","px:900,3220:11,14",next-x,1,
3728,EDGE,add,"ny:900,3220:11,13",,"px:900,3220:11,13","px:900,3220:11,14",next-y,1,
3729,NODE,add,"px:900,3220:12,14",pixel,,,,0.592156862745098,"204,238,11"
3730,EDGE,add,"nx:900,3220:11,14",,"px:900,3220:11,14","px:900,3220:12,14",next-x,1,
3731,EDGE,add,"ny:900,3220:12,13",,"px:900,3220:12,13","px:900,3220:12,14",next-y,1,
3732,NODE,add,"px:900,3220:13,14",pixel,,,,0.6287581699346405,"221,238,22"
3733,EDGE,add,"nx:900,3220:12,14",,"px:900,3220:12,14","px:900,3220:13,14",next-x,1,
3734,EDGE,add,"ny:900,3220:13,13",,"px:900,3220:13,13","px:900,3220:13,14",next-y,1,
3735,NODE,add,"px:900,3220:14,14",pixel,,,,0.6718954248366014,"238,238,38"
3736,EDGE,add,"nx:900,3220:13,14",,"px:900,3220:13,14","px:900,3220:14,14",next-x,1,
3737,EDGE,add,"ny:900,3220:14,13",,"px:900,3220:14,13","px:900,3220:14,14",next-y,1,
3738,NODE,add,"px:900,3220:15,14",pixel,,,,0.7189542483660131,"255,238,57"
3739,EDGE,add,"nx:900,3220:14,14",,"px:900,3220:14,14","px:900,3220:15,14",next-x,1,
3740,EDGE,add,"ny:900,3220:15,13",,"px:900,3220:15,13","px:900,3220:15,14",next-y,1,
3741,NODE,add,"px:900,3220:0,15",pixel,,,,0.5333333333333333,"0,255,153"
3742,EDGE,add,"ny:900,3220:0,14",,"px:900,3220:0,14","px:900,3220:0,15",next-y,1,
3743,NODE,add,"px:900,3220:1,15",pixel,,,,0.5228758169934641,"17,255,128"
3744,EDGE,add,"nx:900,3220:0,15",,"px:900,3220:0,15","px:900,3220:1,15",next-x,1,
3745,EDGE,add,"ny:900,3220:1,14",,"px:900,3220:1,14","px:900,3220:1,15",next-y,1,
3746,NODE,add,"px:900,3220:2,15",pixel,,,,0.5124183006535947,"34,255,103"
3747,EDGE,add,"nx:900,3220:1,15",,"px:900,3220:1,15","px:900,3220:2,15",next-x,1,
3748,EDGE,add,"ny:900,3220:2,14",,"px:900,3220:2,14","px:900,3220:2,15",next-y,1,
3749,NODE,add,"px:900,3220:3,15",pixel,,,,0.5032679738562091,"51,255,79"
